Latitude,Longitude,pet,year,month,day,quarter
-28.760833,17.730278,174.2,2011,2,1,1
-26.861111,28.884722,124.1,2011,3,1,1
-26.45,28.085833,127.5,2011,3,1,1
-27.671111,27.236944,129.7,2011,3,1,1
-27.356667,27.286389,129.2,2011,3,1,1
-27.01011111,26.69808333,98.6,2011,4,1,2
-25.127778,27.628889,105.5,2011,4,1,2
-25.20639,27.558,103.700005,2011,4,1,2
-24.69514,27.40906,111.8,2011,4,1,2
-26.98472222,26.63227778,98.200005,2011,4,1,2
-28.141944,26.417778,93.8,2011,4,1,2
-27.398611,26.614722,100.9,2011,4,1,2
-33.501667,21.624167,100.200005,2011,4,1,2
-32.502778,19.535833,119.9,2011,4,1,2
-25.45963889,28.26430556,103.6,2011,4,1,2
-27.495556,26.074722,99.700005,2011,4,1,2
-26.648056,27.089444,83.5,2011,5,1,2
-26.970278,27.211111,82.1,2011,5,1,2
-27.38972222,26.46388889,83.200005,2011,5,1,2
-27.044444,27.005,82.4,2011,5,1,2
-30.830556,26.921389,57.0,2011,6,1,2
-27.00222,28.76528,70.0,2011,6,1,2
-27.02314,28.59389,72.4,2011,6,1,2
-30.679722,26.7125,59.8,2011,6,1,2
-30.160091,27.40124,57.4,2011,6,1,2
-32.595833,19.009444,52.7,2011,6,1,2
-25.99136,27.84208,173.2,2011,10,1,4
-26.73806,27.59194,179.40001,2011,10,1,4
-26.45,28.085833,172.90001,2011,10,1,4
-30.86013889,29.07125,138.0,2011,10,1,4
-27.356667,27.286389,185.8,2011,10,1,4
-27.01011111,26.69808333,191.7,2011,11,1,4
-25.73411,27.21422,182.5,2011,11,1,4
-26.98472222,26.63227778,192.0,2011,11,1,4
-27.398611,26.614722,197.40001,2011,11,1,4
-27.671111,27.236944,192.1,2011,11,1,4
-29.160278,26.573333,199.1,2011,11,1,4
-34.250556,20.9925,140.2,2011,11,1,4
-25.45963889,28.26430556,182.8,2011,11,1,4
-25.81048333,27.90955222,164.1,2011,12,1,4
-27.273889,28.49,164.3,2011,12,1,4
-27.4275,28.525833,163.6,2011,12,1,4
-28.883333,27.89,164.2,2011,12,1,4
-27.00222,28.76528,161.6,2011,1,13,1
-27.02314,28.59389,163.1,2011,1,13,1
-30.534167,24.961944,205.0,2011,1,13,1
-28.460833,21.248889,244.7,2011,1,13,1
-29.658056,25.973333,186.90001,2011,1,14,1
-28.760833,17.730278,257.5,2011,1,16,1
-25.513889,31.224444,149.40001,2011,1,17,1
-26.861111,28.884722,161.0,2011,1,17,1
-31.554722,29.245556,123.700005,2011,1,17,1
-28.058889,30.373611,158.0,2011,1,17,1
-25.127778,27.628889,169.3,2011,1,18,1
-25.20639,27.558,170.0,2011,1,18,1
-24.69514,27.40906,172.90001,2011,1,18,1
-25.681111,31.783333,149.2,2011,1,18,1
-27.802778,28.768333,159.1,2011,1,18,1
-27.398611,26.614722,191.90001,2011,1,18,1
-31.104278,29.399722,134.1,2011,1,18,1
-31.396,29.2651,134.5,2011,1,18,1
-33.38056,19.30167,194.3,2011,1,18,1
-33.31388889,19.07472222,205.90001,2011,1,18,1
-27.495556,26.074722,194.2,2011,1,18,1
-24.39619444,27.08983333,169.2,2011,1,19,1
-26.970278,27.211111,173.90001,2011,1,19,1
-26.880278,26.965,175.5,2011,1,19,1
-27.273889,28.49,164.3,2011,1,19,1
-27.3,28.586944,163.40001,2011,1,19,1
-27.044444,27.005,178.7,2011,1,19,1
-30.568333,29.422778,137.7,2011,1,19,1
-30.570833,29.150556,138.90001,2011,1,19,1
-34.031944,22.053333,157.5,2011,1,19,1
-33.13083,18.86278,207.1,2011,1,19,1
-33.7075,18.97444444,200.3,2011,1,19,1
-25.57877778,29.12747222,161.6,2011,1,19,1
-26.006389,29.253889,152.0,2011,1,20,1
-27.02314,28.59389,163.1,2011,1,20,1
-30.679722,26.7125,180.90001,2011,1,20,1
-28.460833,21.248889,244.7,2011,1,20,1
